"code","dose","colony","newday","day30","phase","tubetemp","tubehumidity","temp","humidity","startweight","startage","doublefeeder","meanco2","suc40ml","suc5ml","buzz","sit","walk","wave","totalactive","totalinactive","totaldistance","binaryactive","totalsuc"
"B6B32",0,6,7,25,"Recovery",25.3,29,25.6,29,0.182,2,2,18.8179798,0.279761905,0.319908317,0,23,173,104,173,127,157.5,"Yes",0.599670222
"B6B32",0,6,10,20,"on",25,34,25.6,34,0.182,2,2,12.06121212,0.002834464,0.425998694,1,8,259,32,260,40,187.5,"Yes",0.428833158
"B6B32",0,6,10,30,"Recovery",24.8,38.1,25.6,38.1,0.182,2,2,9.480808081,0.107709751,0.260641781,1,27,64,208,65,235,60,"Yes",0.368351532
"B6B4",200,6,7,25,"Recovery",24.9,29,25.6,29,0.154,5,1,16.73353535,0.346088435,"NA",0,4,13,283,13,287,7.5,"Yes",0.346088435
"B6B4",200,6,10,30,"Recovery",25.1,30,25.6,31,0.154,5,1,13.38848485,0.497165533,"NA",2,8,122,168,124,176,82.5,"Yes",0.497165533
"B6B5",200,6,7,15,"on",25.2,29,25.6,29,0.255,5,1,13.7157047,0.633078231,"NA",0,4,111,185,111,189,112.5,"Yes",0.633078231
"B6B5",200,6,7,25,"Recovery",25.5,30,25.6,29,0.255,5,1,25.5379798,0.41723356,"NA",2,190,89,19,91,209,67.5,"Yes",0.41723356
"B6B5",200,6,10,30,"Recovery",25.3,38.1,25.6,38.1,0.255,5,1,15.0189899,0.365079365,"NA",4,12,238,46,242,58,210,"Yes",0.365079365
"B6B6",200,6,7,25,"Recovery",25.3,29,25.6,29,0.17879,5,2,14.53838384,0.474489796,0.429600524,10,10,121,159,131,169,52.5,"Yes",0.90409032
"B6B6",200,6,10,30,"Recovery",25.4,30,25.6,28,0.17879,5,2,18.36121212,0.477040816,0.709888671,9,0,257,34,266,34,187.5,"Yes",1.186929487
"B6B7",200,6,7,15,"on",25,36,25.5,35,0.296,5,1,19.41355705,0.756802721,"NA",5,12,182,101,187,113,300,"Yes",0.756802721
"B6B7",200,6,7,25,"Recovery",25.3,29,25.6,27,0.296,5,1,17.75515152,0.470804989,"NA",0,300,0,0,0,300,0,"No",0.470804989
"B6B7",200,6,10,20,"on",25.5,30,25.6,25.3,0.296,5,1,16.71373737,0.41524943,"NA",3,3,200,94,203,97,75,"Yes",0.41524943
"B6B7",200,6,10,30,"Recovery",25.6,38.1,25.6,36.1,0.296,5,1,15.65272727,0.468537415,"NA",16,3,180,101,196,104,157.5,"Yes",0.468537415
"B7B10",200,7,7,15,"on",25.4,36,25.5,35,0.261,3,1,25.9033557,0.568027211,"NA",0,1,0,299,0,300,0,"No",0.568027211
"B7B10",200,7,10,20,"on",25.5,30,25.6,29,0.261,3,1,17.65434343,0.449263036,"NA",0,1,0,299,0,300,0,"No",0.449263036
"B7B10",200,7,10,30,"Recovery",25.6,38.1,25.6,38.1,0.261,3,1,13.22464646,0.46031746,"NA",0,184,0,116,0,300,0,"No",0.46031746
"B7B5",0,7,7,25,"Recovery",25.5,29,25.6,29,0.26,5,1,18.42484848,0.407596372,"NA",37,12,169,82,206,94,180,"Yes",0.407596372
"B7B5",0,7,10,30,"Recovery",25.7,34,25.6,34,0.26,5,1,22.61232323,0.099489796,"NA",0,11,166,123,166,134,150,"Yes",0.099489796
"B7B7",0,7,7,25,"Recovery",25.5,29,25.6,29,0.139,5,1,11.51535354,0.277494331,"NA",0,3,19,278,19,281,15,"Yes",0.277494331
"B7B7",0,7,10,30,"Recovery",25.4,34,25.6,34,0.139,5,1,20.27151515,0.332482993,"NA",0,300,0,0,0,300,0,"No",0.332482993
"B7B8",0,7,7,15,"on",25.5,36,25.5,36,0.271,5,1,7.089530201,0.237670068,"NA",0,206,5,89,5,295,7.5,"Yes",0.237670068
"B7B8",0,7,7,25,"Recovery",25.6,29,25.6,29,0.271,5,1,10.78848485,0.422335601,"NA",0,3,12,285,12,288,7.5,"Yes",0.422335601
"B7B8",0,7,10,20,"on",25.4,34,25.6,34,0.271,5,1,10.87878788,0.179705213,"NA",17,12,213,58,230,70,180,"Yes",0.179705213
"B7B8",0,7,10,30,"Recovery",25.3,38.1,25.6,38.1,0.271,5,1,13.35959596,0.011621315,"NA",0,3,4,293,4,296,7.5,"Yes",0.011621315
"B7B9",200,7,7,15,"on",25.2,36,25.5,36,0.178,3,1,26.37409396,0.399234694,"NA",17,6,78,199,95,205,52.5,"Yes",0.399234694
"B7B9",200,7,7,25,"Recovery",25.6,29,25.6,29,0.178,3,1,19.46848485,0.343253969,"NA",5,41,117,137,122,178,75,"Yes",0.343253969
"B7B9",200,7,10,20,"on",25.5,30,25.6,30,0.178,3,1,17.40949495,0.513038554,"NA",5,12,179,104,184,116,97.5,"Yes",0.513038554
"B7B9",200,7,10,30,"Recovery",25.5,38.1,25.6,38.1,0.178,3,1,8.36020202,0.295351474,"NA",0,1,299,0,299,1,202.5,"Yes",0.295351474
"B8B12",0,8,7,25,"Recovery",25.4,29,25.6,29,0.249,3,2,19.04444444,0.326530612,0.082187295,0,6,102,192,102,198,67.5,"Yes",0.408717907
"B8B12",0,8,10,30,"Recovery",25.3,34,25.6,34,0.249,3,2,10.71151515,0.243480725,0.207924034,0,23,18,259,18,282,15,"Yes",0.451404759
"B8B13",0,8,7,15,"on",25.6,36,25.5,36,0.275,3,1,12.2252349,0.142006803,"NA",0,300,0,0,0,300,0,"No",0.142006803
"B8B13",0,8,7,25,"Recovery",25.7,29,25.6,29,0.275,3,1,24.91656566,0.221655329,"NA",0,12,0,288,0,300,0,"No",0.221655329
"B8B13",0,8,10,20,"on",25.3,34,25.6,34,0.275,3,1,19.80040404,0.063208614,"NA",3,15,155,127,158,142,150,"Yes",0.063208614
"B8B13",0,8,10,30,"Recovery",25.4,38.1,25.6,38.1,0.275,3,1,11.78282828,0.445294785,"NA",0,1,0,299,0,300,0,"No",0.445294785
"B8B14",0,8,7,15,"on",25.3,36,25.5,36,0.226,3,1,25.61557047,0.236394558,"NA",9,12,167,112,176,124,120,"Yes",0.236394558
"B8B14",0,8,7,25,"Recovery",25.6,29,25.6,29,0.226,3,1,15.08808081,0.348922902,"NA",0,4,118,178,118,182,82.5,"Yes",0.348922902
"B8B14",0,8,10,20,"on",25.3,34,25.6,34,0.226,3,1,19.51535354,0.225340136,"NA",19,20,115,146,134,166,120,"Yes",0.225340136
"B8B14",0,8,10,30,"Recovery",25.6,38.1,25.6,38.1,0.226,3,1,13.27535354,0.385487528,"NA",98,16,186,0,284,16,150,"Yes",0.385487528
"B8B16",0,8,7,15,"on",25.2,36,25.5,36,0.19,3,2,12.76402685,0.410289116,0.595776031,0,5,225,70,225,75,232.5,"Yes",1.006065147
"B8B16",0,8,10,20,"on",25.4,38.1,25.6,38.1,0.19,3,2,8.275353535,0.408163265,0.389652917,0,300,0,0,0,300,0,"No",0.797816182
"B8B27",200,8,7,15,"on",25.2,36,25.5,36,0.137,2,2,13.7409396,0.341836735,0.343320236,0,194,67,39,67,233,82.5,"Yes",0.685156971
"B8B27",200,8,10,20,"on",25.3,38.1,25.6,38.1,0.137,2,2,11.9810101,0.10402494,0.397184018,3,6,240,51,243,57,210,"Yes",0.501208958
"B9B1",0,9,7,15,"on",25.4,36,25.5,36,0.33,5,1,16.10416107,0.30994898,"NA",0,10,100,190,100,200,97.5,"Yes",0.30994898
"B9B1",0,9,7,25,"Recovery",25.5,29,25.6,29,0.33,5,1,19.29090909,0.420068027,"NA",9,7,154,130,163,137,135,"Yes",0.420068027
"B9B1",0,9,10,20,"on",25.6,34,25.6,34,0.33,5,1,9.682464646,0.235544218,"NA",0,9,59,232,59,241,52.5,"Yes",0.235544218
"B9B1",0,9,10,30,"Recovery",25.7,38.1,25.6,38.1,0.33,5,1,12.07555556,0.10175737,"NA",0,3,9,288,9,291,7.5,"Yes",0.10175737
"B9B10",200,9,7,15,"on",25.2,29,25.6,29,0.303,3,1,22.3504698,0.637755102,"NA",0,156,62,82,62,238,60,"Yes",0.637755102
"B9B10",200,9,7,25,"Recovery",25.4,30,25.6,30,0.303,3,1,26.41414141,0.486678004,"NA",11,11,180,98,191,109,97.5,"Yes",0.486678004
"B9B10",200,9,10,30,"Recovery",25.5,38.1,25.6,38.1,0.303,3,1,11.3359596,0.408446712,"NA",4,10,86,200,90,210,60,"Yes",0.408446712
"B9B12",200,9,7,15,"on",25.6,36,25.5,36,0.18,3,2,29.55020134,0.321428571,0.040766208,0,9,81,210,81,219,30,"Yes",0.362194779
"B9B12",200,9,7,25,"Recovery",25.2,29,25.6,29,0.18,3,2,18.26767677,0.407596372,0.423706614,0,1,0,299,0,300,0,"No",0.831302986
"B9B12",200,9,10,20,"on",25.3,30,25.6,30,0.18,3,2,22.07434343,0.552721088,0.347740668,0,1,0,299,0,300,0,"No",0.900461756
"B9B12",200,9,10,30,"Recovery",25.6,38.1,25.6,38.1,0.18,3,2,22.53252525,0.469671202,0.51702685,0,300,0,0,0,300,0,"No",0.986698052
"B9B14",200,9,7,25,"Recovery",25.2,29,25.6,29,0.274,3,1,7.947474747,0.360827664,"NA",4,4,273,19,277,23,120,"Yes",0.360827664
"B9B14",200,9,10,30,"Recovery",25,30,25.6,30,0.274,3,1,19.83353535,0.546768707,"NA",0,300,0,0,0,300,0,"No",0.546768707
"B9B16",200,9,7,15,"on",25.3,36,25.5,36,0.182,3,1,13.12308725,0.420493197,"NA",0,300,0,0,0,300,0,"No",0.420493197
