Year	GDP
1732	10077.8241011534
1733	10298.9623379177
1734	10259.4912503767
1735	10013.8702803927
1736	10755.816837419
1737	10177.4936884123
1738	10365.3242169714
1739	10293.7790012668
1740	10118.5993919716
1741	10411.740110364
1742	10649.0797281666
1743	10396.3126126735
1744	10248.7146527119
1745	10397.3899299029
1746	10721.6309198458
1747	11207.692518276
1748	11085.3119859421
1749	11017.0972498218
1750	11174.2987865743
1751	10930.0977053156
1752	11465.8758571411
1753	11565.0549488574
1754	11238.520503328
1755	11576.5726849119
1756	11377.9091034649
1757	12030.5774819947
1758	12195.2030575092
1759	12385.3558548333
1760	12742.4340133657
1761	13246.709124502
1762	12875.3563107077
1763	12830.2158880676
1764	12821.8956499215
1765	12715.0916521086
1766	12882.0716430839
1767	12967.898632064
1768	13084.4125748877
1769	13820.7100836608
1770	13440.0862657444
1771	13688.1020858628
1772	13335.4552403351
1773	13570.1910821823
1774	13265.3577253807
1775	13686.1167716575
1776	14126.2529078961
1777	14531.6368780677
1778	14427.0494802339
1779	14384.3355470376
1780	15038.1278343371
1781	15463.0585666154
1782	15305.5634811629
1783	15223.3658613947
1784	15279.9946913094
1785	15170.0985906379
1786	15431.9857385241
1787	15171.6745495237
1788	15133.5259270779
1789	15468.7429306156
1790	16638.9895666329
1791	16706.5116317296
1792	17373.9910073221
1793	17088.4221673578
1794	16531.6521204499
1795	18323.1722527322
1796	18647.799219503
1797	18508.2861406438
1798	18681.9689263101
1799	19168.6379954538
1800	20098.3882760268
1801	20274.5087837416
1802	20500.2331724471
1803	20061.7534989185
1804	20036.4994442235
1805	21248.5051978049
1806	21159.2228614401
1807	22537.0540865745
1808	21476.8823599217
1809	22145.2812438112
1810	23566.8911034599
1811	23314.038279715
1812	22345.2026943762
1813	23554.7935760887
1814	23026.0235800638
1815	25484.2412888797
1816	24140.2575787625
1817	24539.8275705028
1818	24508.2507334518
1819	24097.4248354288
1820	26051.518227811
1821	26492.3388150345
1822	27001.5413590378
1823	27794.809560227
1824	29316.8824459954
1825	29973.1078896834
1826	28361.3159657528
1827	30543.5834115698
1828	30630.5512016244
1829	30883.4520855485
1830	32263.0030306843
1831	33262.249363706
1832	33414.010575922
